Gene,t-statistic,p-value,adjusted_p-value
1007_s_at,-6.2592852349752865,1.566756757273283e-08,2.090541366606022e-06
117_at,2.979570046504265,0.0037867064798152,0.0488544240531845
200037_s_at,-3.203072915578739,0.0019346305353846,0.0305740228510465
200602_at,-3.792330629786133,0.0002803224178374,0.0074390157182247
200606_at,-7.234867535261546,3.5858013845011455e-10,8.153307372534595e-08
200608_s_at,-3.993564936279056,0.0001389938718588,0.004272000616043
200644_at,-3.5148140969449173,0.0007159158828147,0.014937035221687
200649_at,3.2350023024264902,0.0017767050958091,0.0287720346292993
200653_s_at,3.3925890282341262,0.0010592999894719,0.0197031566489176
200662_s_at,-3.612979231903213,0.0005196810628402,0.0117088504785331
200664_s_at,2.989209051471318,0.0037345846875242,0.0485234697330048
200670_at,-4.863958176773329,5.642897551348857e-06,0.000300431456866
200671_s_at,6.008169291536429,4.7319855101009764e-08,5.4351975835866e-06
200675_at,3.875226668506517,0.0002107698389748,0.0059375275877068
200681_at,-3.094546501538728,0.002687365547076,0.0390544052949355
200696_s_at,5.328178985053679,8.179438124157367e-07,5.8417442218140585e-05
200708_at,-3.7494724233234935,0.0003262848458919,0.0083378500240931
200720_s_at,3.5843365168124732,0.0005844845152114,0.0127910504607206
200729_s_at,-3.3333512370217617,0.0012788814418921,0.0227251317142602
200736_s_at,3.1496268432189276,0.0022647089058325,0.0342364372786073
200754_x_at,-3.668052631630761,0.0004325326044666,0.0102971410527041
200758_s_at,4.300834395852067,4.743101486513183e-05,0.0017703606436176
200762_at,3.0084637856230763,0.0034848598265015,0.0462975423404063
200770_s_at,4.9312732526787055,4.8686830998985625e-06,0.000264606989061
200787_s_at,3.6134659571156367,0.00053361009826,0.0119501847432439
200795_at,3.2551197330853214,0.0016817683719534,0.0276567119057109
200821_at,-3.255097908059055,0.0016538938174671,0.0273192853481252
200831_s_at,3.876873427895027,0.0002093315688277,0.0059119586162089
200844_s_at,6.478165167574669,7.311479316880734e-09,1.1393125427835902e-06
200845_s_at,3.680979412500019,0.0004163624758746,0.0100517931201668
200862_at,-3.2754986351466204,0.0015449944982847,0.0259827263436061
200878_at,5.820675496964338,1.356721649405221e-07,1.3317986129381737e-05
200895_s_at,-5.478925317928602,4.535269404097155e-07,3.6352305083272264e-05
200904_at,3.219382309191803,0.0018283686738762,0.0293526939192965
200910_at,-3.447349709898092,0.0009011997279652,0.0175996416077166
200911_s_at,5.427335782897092,6.278156805432311e-07,4.824005796394765e-05
200920_s_at,3.083189986720363,0.0028041357937205,0.0399262350744246
200940_s_at,3.102531014404632,0.0026195405437587,0.0382260785439267
200943_at,-3.44793708311419,0.0009409006319302,0.0181367550011253
200944_s_at,-6.871151170888423,1.6622212048955744e-09,2.939625008626039e-07
200965_s_at,3.736555290631269,0.0003449246217672,0.0087241263868789
200972_at,3.716169444970652,0.000369535462218,0.0092004007872667
200973_s_at,5.690182972150704,5.005731787793553e-07,3.965045553667726e-05
200977_s_at,-3.4707998012054864,0.0008356831350686,0.0166710181725473
200986_at,3.915290587759022,0.0002007992032723,0.0057071538858651
200996_at,-3.5074861358733487,0.0007345196965792,0.0151566768492271
201005_at,-5.632796605897606,2.3206971881547437e-07,2.110697773210292e-05
201008_s_at,3.772021126898839,0.0003088404746961,0.0079767496577296
201009_s_at,4.312898041333593,4.369856303193783e-05,0.0016588331857592
201010_s_at,4.42472782567525,2.9077181213996214e-05,0.001186679173977
201012_at,4.929896733302008,4.393072208946142e-06,0.0002411104138717
201014_s_at,-3.092034245470277,0.0026980852854761,0.0390727112747963
201026_at,3.854445482083764,0.0002300618599097,0.006360382660506
201028_s_at,4.017668491052857,0.0001295154347591,0.0040420062083164
201029_s_at,3.1449055199013536,0.0023051298517522,0.0346126741823425
201030_x_at,4.310790018912743,4.4645296601409405e-05,0.0016890172226981
201031_s_at,-3.562336434222323,0.000628248633274,0.0135389403242225
201032_at,3.759384084442023,0.0003238023747426,0.008293434846427
201035_s_at,3.59806045265314,0.000540721420495,0.0120730414958832
201036_s_at,5.256768305504683,1.3530371786308026e-06,9.053972207636687e-05
201041_s_at,4.351883093256576,3.855549934822464e-05,0.0015019793566022
201058_s_at,4.101409100966628,9.832666126032618e-05,0.0032411434805678
201061_s_at,4.008351506054381,0.0001321416714592,0.0040952891030959
201074_at,-4.032831075904566,0.0001244128568033,0.0038991444277767
201083_s_at,-3.500890801125896,0.0007528996670824,0.0153916176895387
201091_s_at,-3.443598175582482,0.0009616467668037,0.0183776800211739
201105_at,4.634054126926156,1.3041796452363477e-05,0.000609246017501
201106_at,4.473271561086638,2.4018642677170497e-05,0.0010022610763584
201111_at,-4.702668561243211,9.971366460141453e-06,0.00048940960095
201125_s_at,3.326189144497033,0.0013225897867455,0.0232974452316617
201131_s_at,-8.645226403595018,4.283535086926619e-13,3.1816670780661953e-10
201135_at,3.633161868169659,0.0004860040054459,0.0111992008824734
201136_at,-4.032371282923773,0.0001300894178914,0.0040542412571666
201148_s_at,2.977606478741823,0.0038027184878182,0.0489774423630316
201150_s_at,4.546928898316366,1.831175751475317e-05,0.0008043923582625
201160_s_at,3.0309048288718072,0.0032410331068395,0.0440097140278523
201161_s_at,3.40591557606005,0.0010194705326836,0.0191541837097729
201202_at,-5.103072737989806,2.055207733506752e-06,0.0001279223294014
201218_at,-3.256927278452074,0.0017267047460981,0.0282912954833127
201219_at,-3.3634639796386203,0.0011681720940947,0.0211973768507434
201242_s_at,-5.972199792862398,5.6837617611403015e-08,6.396528450681279e-06
201243_s_at,-6.884157729384222,1.588781091094868e-09,2.855065246198947e-07
201247_at,-3.8677680353749033,0.0002196510856534,0.00611810642702
201264_at,2.9911299189838196,0.0037009213007793,0.0481703442437303
201273_s_at,-3.360765448590581,0.00124786660764,0.0223702426532934
201274_at,-3.7831231091218456,0.0003403988742647,0.0086460091543894
201275_at,-3.0858086683098844,0.0027490360892183,0.0395204975329373
201277_s_at,-3.543719779583269,0.0006474455575192,0.0138053798544601
201278_at,4.220169867534766,6.15488077191891e-05,0.0021979039782158
201286_at,-8.727528316038613,2.2034739978199217e-13,2.2817781636108824e-10
201287_s_at,-3.2692518248833693,0.0015799573299387,0.0263716772906553
201291_s_at,-4.20612420666473,7.951713754195687e-05,0.0027428488790207
201301_s_at,-3.62747418231077,0.0005187271666305,0.0117088504785331
201307_at,3.981779185703016,0.0001450433056398,0.0044213406013316
201324_at,5.251194190318912,1.1325193441204128e-06,7.812980973695095e-05
201325_s_at,5.539093801477366,3.428944747555829e-07,2.8978822991877304e-05
201327_s_at,-4.518444560295293,2.0830603955681635e-05,0.0008909181342503
201337_s_at,3.3361555305601245,0.0013203432660951,0.0232762729417708
201340_s_at,-5.001966606588816,3.7561084835172808e-06,0.0002129703952626
201346_at,4.3647955029731165,3.871870289985672e-05,0.0015057048110253
201348_at,7.371117221227014,1.0938301263150964e-10,3.0467270880849114e-08
201361_at,3.0029614071931623,0.0035433611457754,0.0469142700007806
201363_s_at,-5.262791481230508,1.0802374448188055e-06,7.498732393425997e-05
201377_at,-3.7511902523007903,0.000322762259004,0.0082763077300204
201378_s_at,-3.3985721231770603,0.001038043875385,0.0194212692487034
201380_at,4.639185580699671,1.274028670274405e-05,0.0005976669654678
201385_at,-4.029671919416014,0.0001241535390029,0.0038964976191597
201409_s_at,-4.032518561181721,0.0001237426118633,0.0038890784487309
201416_at,-4.600334200548598,1.4818392867040826e-05,0.0006782159891622
201417_at,-6.593783441616619,4.049568175593683e-09,6.72230226775085e-07
201425_at,5.137375586453038,2.341144376803748e-06,0.0001433179124953
201426_s_at,4.119978468410785,9.204817296634658e-05,0.0030843750950512
201427_s_at,4.077151300494127,0.0001032970545479,0.0033602456445131
201432_at,6.350615435394714,1.25867983641212e-08,1.7639725028158032e-06
201447_at,-3.0334674709222433,0.0032351171673529,0.0439561681951991
